,lamda_com,lamda_atc,lamda_pro,AUC
107,0.1,0.01,0.001,0.862873428
108,0.1,0.1,0.001,0.869361794
109,0.1,0.3,0.001,0.868336617
110,0.1,0.5,0.001,0.865846144
111,0.1,0.7,0.001,0.861578518
112,0.1,0.9,0.001,0.860861901
113,0.1,0.001,0.01,0.855222759
114,0.1,0.01,0.01,0.867646234
115,0.1,0.1,0.01,0.867368573
116,0.1,0.3,0.01,0.86792542
117,0.1,0.5,0.01,0.860860248
118,0.1,0.7,0.01,0.862367147
119,0.1,0.9,0.01,0.85937198
120,0.1,0.001,0.1,0.851546689
121,0.1,0.01,0.1,0.87005692
122,0.1,0.1,0.1,0.865964743
123,0.1,0.3,0.1,0.866991196
124,0.1,0.5,0.1,0.860533903
125,0.1,0.7,0.1,0.863909393
126,0.1,0.9,0.1,0.861964876
127,0.1,0.001,0.3,0.854040551
128,0.1,0.01,0.3,0.869327249
129,0.1,0.1,0.3,0.870026068
130,0.1,0.3,0.3,0.86326266
131,0.1,0.5,0.3,0.866143458
132,0.1,0.7,0.3,0.86643802
133,0.1,0.9,0.3,0.863908106
134,0.1,0.001,0.5,0.854686649
135,0.1,0.01,0.5,0.866771345
136,0.1,0.1,0.5,0.86761911
137,0.1,0.3,0.5,0.859845778
138,0.1,0.5,0.5,0.865929961
139,0.1,0.7,0.5,0.859962282
140,0.1,0.9,0.5,0.864269799
141,0.1,0.001,0.7,0.848062068
142,0.1,0.01,0.7,0.870497012
143,0.1,0.1,0.7,0.871543871
144,0.1,0.3,0.7,0.869255382
145,0.1,0.5,0.7,0.866001015
146,0.1,0.7,0.7,0.862648644
147,0.1,0.9,0.7,0.861302741
148,0.1,0.001,0.9,0.852911466
149,0.1,0.01,0.9,0.867819505
150,0.1,0.1,0.9,0.869777853
151,0.1,0.3,0.9,0.870654194
152,0.1,0.5,0.9,0.866229071
153,0.1,0.7,0.9,0.862941145
154,0.1,0.9,0.9,0.858702705
155,0.3,0.001,0.001,0.853779402
156,0.3,0.01,0.001,0.858770792
157,0.3,0.1,0.001,0.867921688
158,0.3,0.3,0.001,0.86398344
159,0.3,0.5,0.001,0.866330147
160,0.3,0.7,0.001,0.857225312
161,0.3,0.9,0.001,0.858578709
162,0.3,0.001,0.01,0.850262406
163,0.3,0.01,0.01,0.859952151
164,0.3,0.1,0.01,0.864626822
165,0.3,0.3,0.01,0.865116971
166,0.3,0.5,0.01,0.865872013
167,0.3,0.7,0.01,0.865495078
168,0.3,0.9,0.01,0.863035458
169,0.3,0.001,0.1,0.850288644
170,0.3,0.01,0.1,0.85845587
171,0.3,0.1,0.1,0.86749458
172,0.3,0.3,0.1,0.868496201
173,0.3,0.5,0.1,0.866142582
174,0.3,0.7,0.1,0.863295669
175,0.3,0.9,0.1,0.863119077
176,0.3,0.001,0.3,0.850155521
177,0.3,0.01,0.3,0.856298014
178,0.3,0.1,0.3,0.869923873
179,0.3,0.3,0.3,0.868382254
180,0.3,0.5,0.3,0.866888956
181,0.3,0.7,0.3,0.862332246
182,0.3,0.9,0.3,0.863824115
183,0.3,0.001,0.5,0.852427502
184,0.3,0.01,0.5,0.860282232
185,0.3,0.1,0.5,0.864313035
186,0.3,0.3,0.5,0.867991774
187,0.3,0.5,0.5,0.857582572
188,0.3,0.7,0.5,0.864936951
189,0.3,0.9,0.5,0.864266092
190,0.3,0.001,0.7,0.849435255
191,0.3,0.01,0.7,0.859325082
192,0.3,0.1,0.7,0.868683408
193,0.3,0.3,0.7,0.86452929
194,0.3,0.5,0.7,0.866980617
195,0.3,0.7,0.7,0.861147688
196,0.3,0.9,0.7,0.863414538
197,0.3,0.001,0.9,0.850940394
198,0.3,0.01,0.9,0.857831372
199,0.3,0.1,0.9,0.865933407
200,0.3,0.3,0.9,0.869285851
201,0.3,0.5,0.9,0.86275904
202,0.3,0.7,0.9,0.863550096
203,0.3,0.9,0.9,0.863759741
204,0.5,0.001,0.001,0.849125464
205,0.5,0.01,0.001,0.855835464
206,0.5,0.1,0.001,0.86475521
207,0.5,0.3,0.001,0.864396768
208,0.5,0.5,0.001,0.86423987
209,0.5,0.7,0.001,0.862592622
210,0.5,0.9,0.001,0.863674012
211,0.5,0.001,0.01,0.852016345
212,0.5,0.01,0.01,0.854125268
213,0.5,0.1,0.01,0.86426759
214,0.5,0.3,0.01,0.865206912
215,0.5,0.5,0.01,0.86413417
216,0.5,0.7,0.01,0.860159515
217,0.5,0.9,0.01,0.860348279
218,0.5,0.001,0.1,0.84971572
219,0.5,0.01,0.1,0.855594854
220,0.5,0.1,0.1,0.862464084
221,0.5,0.3,0.1,0.860525584
222,0.5,0.5,0.1,0.86655311
223,0.5,0.7,0.1,0.862372416
224,0.5,0.9,0.1,0.861040534
225,0.5,0.001,0.3,0.849769168
226,0.5,0.01,0.3,0.856827631
227,0.5,0.1,0.3,0.863471441
228,0.5,0.3,0.3,0.859480488
229,0.5,0.5,0.3,0.861172824
230,0.5,0.7,0.3,0.86340382
231,0.5,0.9,0.3,0.86233654
232,0.5,0.001,0.5,0.849944538
233,0.5,0.01,0.5,0.855266963
234,0.5,0.1,0.5,0.866212933
235,0.5,0.3,0.5,0.865108184
236,0.5,0.5,0.5,0.865421583
237,0.5,0.7,0.5,0.865623417
238,0.5,0.9,0.5,0.867285286
239,0.5,0.001,0.7,0.851553373
240,0.5,0.01,0.7,0.855110368
241,0.5,0.1,0.7,0.863824171
242,0.5,0.3,0.7,0.860706935
243,0.5,0.5,0.7,0.86146591
244,0.5,0.7,0.7,0.86013135
245,0.5,0.9,0.7,0.863832748
